,Authors,ArticleTitle,JournalTitle,JournalVolume,JournalDate,PUBID,Abstact,DOI
10,"Jang-Hee Cho, Seok Hui Kang, Hayne Cho Park, Dong Ki Kim, Sang-Ho Lee, Jun Young Do, Jong Won Park, Seong Nam Kim, Myeong Seong Kim, Kyubok Jin, Gun Woo Kang, Sun-Hee Park, Yong-Lim Kim, Young-Ki Lee",,Journal of the American Society of Nephrology : JASN,31,,PMID: 32482688,Health care-associated infections during previous coronavirus epidemics involving severe acute respiratory syndrome and Middle East respiratory syndrome resulted from human-to-human transmission in hemodialysis (HD) facilities. The effect of a strategy of HD with cohort isolation-separate dialysis sessions for close contacts of patients with confirmed coronavirus disease 2019 (COVID-19)-on the prevention of secondary transmission of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in HD units is unknown.,
11,"Jerome R Lechien, Carlos M Chiesa-Estomba, Daniele R De Siati, Mihaela Horoi, Serge D Le Bon, Alexandra Rodriguez, Didier Dequanter, Serge Blecic, Fahd El Afia, Lea Distinguin, Younes Chekkoury-Idrissi, Stéphane Hans, Irene Lopez Delgado, Christian Calvo-Henriquez, Philippe Lavigne, Chiara Falanga, Maria Rosaria Barillari, Giovanni Cammaroto, Mohamad Khalife, Pierre Leich, Christel Souchay, Camelia Rossi, Fabrice Journe, Julien Hsieh, Myriam Edjlali, Robert Carlier, Laurence Ris, Andrea Lovato, Cosimo De Filippis, Frederique Coppee, Nicolas Fakhry, Tareck Ayad, Sven Saussez",,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,277,,PMID: 32253535,To investigate the occurrence of olfactory and gustatory dysfunctions in patients with laboratory-confirmed COVID-19 infection.,
12,"M Martínez-García, M Bal-Alvarado, F Santos Guerra, R Ares-Rico, R Suárez-Gil, A Rodríguez-Álvarez, A Pérez-López, E Casariego-Vales",,Revista clinica espanola,,2020 Jun 05,PMID: 32620311,To asses if telemedicine with telemonitoring is a clinically useful and secure tool in the tracking of patients with COVID-19.,DOI 10.1016/j.rce.2020.05.013.
13,"Guogang Xie, Fengming Ding, Lei Han, Dongning Yin, Hongzhou Lu, Min Zhang",,Allergy,,2020 Jun 20,PMID: 32562554,Coronavirus disease 2019 (COVID-19) emerged in Wuhan city and rapidly spread globally outside China. We aimed to investigate the role of peripheral blood eosinophil (EOS) as a marker in the course of the virus infection to improve the efficiency of diagnosis and evaluation of COVID-19 patients.,
14,"José Manuel Hernández-Padilla, José Granero-Molina, María Dolores Ruiz-Fernández, Iria Dobarrio-Sanz, María Mar López-Rodríguez, Isabel María Fernández-Medina, Matías Correa-Casado, Cayetano Fernández-Sola",,International journal of environmental research and public health,17,2020 06 28,PMID: 32605250,"In order to control the spread of COVID-19, people must adopt preventive behaviours that can affect their day-to-day life. People's self-efficacy to adopt preventive behaviours to avoid COVID-19 contagion and spread should be studied. The aim of this study was to develop and psychometrically test the COVID-19 prevention, detection, and home-management self-efficacy scale (COVID-19-SES). We conducted an observational cross-sectional study. Six-hundred and seventy-eight people participated in the study. Data were collected between March and May 2020. The COVID-19-SES' validity (content, criterion, and construct), reliability (internal consistency and test-retest reliability), and legibility were studied. The COVID-19-SES' reliability was high (Cronbach's alpha = 0.906; intraclass correlation coefficient = 0.754). The COVID-19-SES showed good content validity (scale's content validity index = 0.92) and good criterion validity when the participants' results on the COVID-19-SES were compared to their general self-efficacy (r = 0.38; p < 0.001). Construct validity analysis revealed that the COVID-19-SES' three-factor structure explained 52.12% of the variance found and it was congruent with the World Health Organisation's recommendations to prevent COVID-19 contagion and spread. Legibility analysis showed that the COVID-19-SES is easy to read and understand by laypeople. The COVID-19-SES is a psychometrically robust instrument that allows for a valid and reliable assessment of people's self-efficacy in preventing, detecting symptoms, and home-managing COVID-19.",DOI 10.3390/ijerph17134653.
15,"Mingliang Ying, Bin Lu, Jiangfeng Pan, Guanghong Lu, Shaobin Zhou, Dingjun Wang, Lu Li, Junkang Shen, Jiner Shu",,BMC infectious diseases,20,2020 Jun 22,PMID: 32571224,"The 2019 novel coronavirus (COVID-19) presents a major threat to public health and has rapidly spread worldwide since the outbreak in Wuhan, Hubei Province, China in 2019. To date, there have been few reports of the varying degrees of illness caused by the COVID-19.",
16,"E Moro, A Priori, E Beghi, R Helbok, L Campiglio, C L Bassetti, E Bianchi, L F Maia, S Ozturk, F Cavallieri, M Zedde, J Sellner, D Bereczki, M Rakusa, G Di Liberto, A Sauerbier, A Pisani, A Macerollo, R Soffietti, P Taba, M Crean, A Twardzik, C Oreja-Guevara, B Bodini, T J Jenkins, T J von Oertzen",,European journal of neurology,,2020 Jun 17,PMID: 32558002,"Although the main clinical features of COVID-19 infection are pulmonary, several associated neurological signs, symptoms and diseases are emerging. Incidence and characteristics of neurological complications are unclear. For this reason, the European Academy of Neurology (EAN) core COVID-19 Task Force initiated a survey on neurological symptoms observed in patients with COVID-19 infection.",
17,"J P Nolan, K G Monsieurs, L Bossaert, B W Böttiger, R Greif, C Lott, J Madar, T M Olasveengen, C C Roehr, F Semeraro, J Soar, P Van de Voorde, D A Zideman, G D Perkins",,Resuscitation,153,2020 Jun 07,PMID: 32525022,"Coronavirus disease 2019 (COVID-19) has had a substantial impact on the incidence of cardiac arrest and survival. The challenge is to find the correct balance between the risk to the rescuer when undertaking cardiopulmonary resuscitation (CPR) on a person with possible COVID-19 and the risk to that person if CPR is delayed. These guidelines focus specifically on patients with suspected or confirmed COVID-19. The guidelines include the delivery of basic and advanced life support in adults and children and recommendations for delivering training during the pandemic. Where uncertainty exists treatment should be informed by a dynamic risk assessment which may consider current COVID-19 prevalence, the person's presentation (e.g. history of COVID-19 contact, COVID-19 symptoms), likelihood that treatment will be effective, availability of personal protective equipment (PPE) and personal risks for those providing treatment. These guidelines will be subject to evolving knowledge and experience of COVID-19. As countries are at different stages of the pandemic, there may some international variation in practice.",DOI 10.1016/j.resuscitation.2020.06.001.
18,"David J Brewster, Nicholas Chrimes, Thy Bt Do, Kirstin Fraser, Christopher J Groombridge, Andy Higgs, Matthew J Humar, Timothy J Leeuwenburg, Steven McGloughlin, Fiona G Newman, Chris P Nickson, Adam Rehak, David Vokes, Jonathan J Gatward",,The Medical journal of Australia,212,,PMID: 32356900,This statement was planned on 11 March 2020 to provide clinical guidance and aid staff preparation for the coronavirus disease 2019 (COVID-19) pandemic in Australia and New Zealand. It has been widely endorsed by relevant specialty colleges and societies.,
19,"Fang Liu, Lin Li, MengDa Xu, Juan Wu, Ding Luo, YuSi Zhu, BiXi Li, XiaoYang Song, Xiang Zhou",,Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology,127,,PMID: 32344321,"The inflammatory response plays a critical role in coronavirus disease 2019 (COVID-19), and inflammatory cytokine storm increases the severity of COVID-19.",DOI 10.1016/j.jcv.2020.104370.
20,"Behnood Bikdeli, Mahesh V Madhavan, David Jimenez, Taylor Chuich, Isaac Dreyfus, Elissa Driggin, Caroline Der Nigoghossian, Walter Ageno, Mohammad Madjid, Yutao Guo, Liang V Tang, Yu Hu, Jay Giri, Mary Cushman, Isabelle Quéré, Evangelos P Dimakakos, C Michael Gibson, Giuseppe Lippi, Emmanuel J Favaloro, Jawed Fareed, Joseph A Caprini, Alfonso J Tafur, John R Burton, Dominic P Francese, Elizabeth Y Wang, Anna Falanga, Claire McLintock, Beverley J Hunt, Alex C Spyropoulos, Geoffrey D Barnes, John W Eikelboom, Ido Weinberg, Sam Schulman, Marc Carrier, Gregory Piazza, Joshua A Beckman, P Gabriel Steg, Gregg W Stone, Stephan Rosenkranz, Samuel Z Goldhaber, Sahil A Parikh, Manuel Monreal, Harlan M Krumholz, Stavros V Konstantinides, Jeffrey I Weitz, Gregory Y H Lip",,Journal of the American College of Cardiology,75,2020 06 16,PMID: 32311448,"Coronavirus disease-2019 (COVID-19), a viral respiratory illness caused by the severe acute respiratory syndrome-coronavirus-2 (SARS-CoV-2), may predispose patients to thrombotic disease, both in the venous and arterial circulations, because of excessive inflammation, platelet activation, endothelial dysfunction, and stasis. In addition, many patients receiving antithrombotic therapy for thrombotic disease may develop COVID-19, which can have implications for choice, dosing, and laboratory monitoring of antithrombotic therapy. Moreover, during a time with much focus on COVID-19, it is critical to consider how to optimize the available technology to care for patients without COVID-19 who have thrombotic disease. Herein, the authors review the current understanding of the pathogenesis, epidemiology, management, and outcomes of patients with COVID-19 who develop venous or arterial thrombosis, of those with pre-existing thrombotic disease who develop COVID-19, or those who need prevention or care for their thrombotic disease during the COVID-19 pandemic.",DOI 10.1016/j.jacc.2020.04.031.
21,"Rabia M Chaudhry, Asif Hanif, Muhammad Chaudhary, Sadia Minhas, Khalid Mirza, Tahira Ashraf, Syed A Gilani, Muhammad Kashif",,Cureus,12,2020 May 28,PMID: 32617220,"Background/Aims Novel coronavirus disease 2019 (COVID-19) is a global challenge due to little available knowledge and treatment protocols. Thus, there is a great need for collecting data related to COVID-19 from all around the world. Hence, we conducted this study, collecting daily data on COVID-19, to map the epidemiology outbreak and forecast its trajectory for May 2020. Methodology The data was collected from the officially released reports of the National Institute of Health (NIH), Pakistan, and the World Health Organization (WHO). The analysis was done using Statistical Package for the Social Sciences (SPSS) version 23 (IBM Corp., Armonk, NY), and forecasting was done using a simple moving average in time series modeler/expert modeler. Results The purpose of this study is to draw the attention of international, as well as national, governing bodies to the rapidly rising number of COVID-19 cases in Pakistan, and the urgency of evaluating the efficacy of the currently implemented strategy against COVID-19. According to this study, there is now an alarming increase in the number of COVID-19 patients in Pakistan, despite a contained spread in the beginning. The predicted number of COVID-19 cases can go over 35,000 by the end of May 2020. Conclusion It is crucial for governing bodies, administrators, and researchers to re-evaluate the current situation, designed policies, and implemented strategies.",
22,"Dániel Bereczki, Rita Stang, Péter Böjti, Tibor Kovács",,Ideggyogyaszati szemle,73,2020 05 30,PMID: 32579306,"By the spring of 2020 the COVID-19 outbreak caused by the new SARS-CoV-2 coronavirus has become a pandemic, requiring fast and efficient reaction from societies and health care systems all over the world. Fever, coughing and dyspnea are considered the major signs of COVID-19. In addition to the involvement of the respiratory system, the infection may result in other symptoms and signs as well. Based on reports to date, neurological signs or symptoms appear in 30-50% of hospitalized COVID-19 patients, with higher incidence in those with more severe disease. Classical acute neurological syndromes have also been reported to associate with COVID-19. A drop in the volume of services for other acute diseases has been described in countries with healthcare systems focusing on COVID-19. During the COVID-19 epidemic it is also important to provide appropriate continuous care for those with chronic neurological disorders. It will be the task of the future to estimate the collateral damage caused by the COVID-19 epidemic on the outcome of other neurological disorders, and to screen for the possible late neurological complications of the SARS-CoV-2 coronavirus infection.",
23,"Perrine Vuagnat, Maxime Frelaut, Toulsie Ramtohul, Clémence Basse, Sarah Diakite, Aurélien Noret, Audrey Bellesoeur, Vincent Servois, Delphine Hequet, Enora Laas, Youlia Kirova, Luc Cabel, Jean-Yves Pierga, Laurence Bozec, Xavier Paoletti, Paul Cottu, François-Clément Bidard",,Breast cancer research : BCR,22,2020 05 28,PMID: 32460829,"Cancer patients have been reported to be at higher risk of COVID-19 complications and deaths. We report the characteristics and outcome of patients diagnosed with COVID-19 during breast cancer treatment at Institut Curie hospitals (ICH, Paris area, France).",
24,,,Communicable diseases intelligence (2018),44,2020 May 15,PMID: 32438898,"Confirmed cases in Australia notified up to 10 May 2020: notifications = 6,971; deaths = 98. The incidence of new cases of COVID-19 has reduced dramatically since a peak in mid-March. The reduction in international travel, social distancing measures and public health action have likely been effective in slowing the spread of the disease, in the Australian community. Cases of COVID-19 continue to be notified by jurisdictions, albeit at a slowed rate. Testing rates over the past week have increased markedly, with a very low proportion of people testing positive. These low rates of detection are indicative of low levels of COVID-19 transmission. It is important that testing rates and community adherence to public health measures remain high to support the continued suppression of the virus, particularly in vulnerable high-risk groups and settings. In the past reporting week new cases in Australia are mostly considered to be locally acquired, consistent with the drop in international travel. Most locally-acquired cases can be linked back to a known case or cluster. Although the proportion of locally-acquired cases has increased, the overall rate of cases, regardless of place of acquisition, continues to decrease. The crude case fatality rate in Australia remains low (1.4%), compared with the WHO reported global rate (6.9%). The low case fatality rate is likely reflective of high case detection and high quality of health care services in Australia. Deaths from COVID-19 in Australia have occurred predominantly among the elderly and those with comorbidities, with no deaths occurring in those under 40 years. The highest rate of COVID-19 continues to be among people aged 60-79 years, with a third of these cases associated with several outbreaks linked to cruise ships. The lowest rate of disease is in young children, a pattern reflected in international reports. Internationally, cases continue to increase, with some areas such as Brazil and India showing a dramatic rise in reported cases. Although some low-income countries have currently reported few cases, it is possible that this is due to limited diagnostic and public health capacity, and may not be reflective of disease occurrence.",
25,"Lucy Rivett, Sushmita Sridhar, Dominic Sparkes, Matthew Routledge, Nick K Jones, Sally Forrest, Jamie Young, Joana Pereira-Dias, William L Hamilton, Mark Ferris, M Estee Torok, Luke Meredith, Ravi Gupta, Paul A Lyons, Mark Toshner, Ben Warne, Josefin Bartholdson Scott, Claire Cormie, Harmeet Gill, Iain Kean, Mailis Maes, Nicola Reynolds, Michelle Wantoch, Sarah Caddy, Laura Caller, Theresa Feltwell, Grant Hall, Myra Hosmillo, Charlotte Houldcroft, Aminu Jahun, Fahad Khokhar, Anna Yakovleva, Helen Butcher, Daniela Caputo, Debra Clapham-Riley, Helen Dolling, Anita Furlong, Barbara Graves, Emma Le Gresley, Nathalie Kingston, Sofia Papadia, Hannah Stark, Kathleen E Stirrups, Jennifer Webster, Joanna Calder, Julie Harris, Sarah Hewitt, Jane Kennet, Anne Meadows, Rebecca Rastall, Criona O Brien, Jo Price, Cherry Publico, Jane Rowlands, Valentina Ruffolo, Hugo Tordesillas, Karen Brookes, Laura Canna, Isabel Cruz, Katie Dempsey, Anne Elmer, Naidine Escoffery, Heather Jones, Carla Ribeiro, Caroline Saunders, Angela Wright, Rutendo Nyagumbo, Anne Roberts, Ashlea Bucke, Simone Hargreaves, Danielle Johnson, Aileen Narcorda, Debbie Read, Christian Sparke, Lucy Warboys, Kirsty Lagadu, Lenette Mactavous, Tim Gould, Tim Raine, Claire Mather, Nicola Ramenatte, Anne-Laure Vallier, Mary Kasanicki, Penelope-Jane Eames, Chris McNicholas, Lisa Thake, Neil Bartholomew, Nick Brown, Surendra Parmar, Hongyi Zhang, Ailsa Bowring, Geraldine Martell, Natalie Quinnell, Jo Wright, Helen Murphy, Benjamin J Dunmore, Ekaterina Legchenko, Stefan Gräf, Christopher Huang, Josh Hodgson, Kelvin Hunter, Jennifer Martin, Federica Mescia, Ciara O'Donnell, Linda Pointon, Joy Shih, Rachel Sutcliffe, Tobias Tilly, Zhen Tong, Carmen Treacy, Jennifer Wood, Laura Bergamaschi, Ariana Betancourt, Georgie Bowyer, Aloka De Sa, Maddie Epping, Andrew Hinch, Oisin Huhn, Isobel Jarvis, Daniel Lewis, Joe Marsden, Simon McCallum, Francescsa Nice, Martin D Curran, Stewart Fuller, Afzal Chaudhry, Ashley Shaw, Richard J Samworth, John R Bradley, Gordon Dougan, Kenneth Gc Smith, Paul J Lehner, Nicholas J Matheson, Giles Wright, Ian G Goodfellow, Stephen Baker, Michael P Weekes",,eLife,9,2020 05 11,PMID: 32392129,"Significant differences exist in the availability of healthcare worker (HCW) SARS-CoV-2 testing between countries, and existing programmes focus on screening symptomatic rather than asymptomatic staff. Over a 3 week period (April 2020), 1032 asymptomatic HCWs were screened for SARS-CoV-2 in a large UK teaching hospital. Symptomatic staff and symptomatic household contacts were additionally tested. Real-time RT-PCR was used to detect viral RNA from a throat+nose self-swab. 3% of HCWs in the asymptomatic screening group tested positive for SARS-CoV-2. 17/30 (57%) were truly asymptomatic/pauci-symptomatic. 12/30 (40%) had experienced symptoms compatible with coronavirus disease 2019 (COVID-19)>7 days prior to testing, most self-isolating, returning well. Clusters of HCW infection were discovered on two independent wards. Viral genome sequencing showed that the majority of HCWs had the dominant lineage B∙1. Our data demonstrates the utility of comprehensive screening of HCWs with minimal or no symptoms. This approach will be critical for protecting patients and hospital staff.",DOI 10.7554/eLife.58728.
26,"Temet M McMichael, Dustin W Currie, Shauna Clark, Sargis Pogosjans, Meagan Kay, Noah G Schwartz, James Lewis, Atar Baer, Vance Kawakami, Margaret D Lukoff, Jessica Ferro, Claire Brostrom-Smith, Thomas D Rea, Michael R Sayre, Francis X Riedo, Denny Russell, Brian Hiatt, Patricia Montgomery, Agam K Rao, Eric J Chow, Farrell Tobolowsky, Michael J Hughes, Ana C Bardossy, Lisa P Oakley, Jesica R Jacobs, Nimalie D Stone, Sujan C Reddy, John A Jernigan, Margaret A Honein, Thomas A Clark, Jeffrey S Duchin",,The New England journal of medicine,382,2020 05 21,PMID: 32220208,"Long-term care facilities are high-risk settings for severe outcomes from outbreaks of Covid-19, owing to both the advanced age and frequent chronic underlying health conditions of the residents and the movement of health care personnel among facilities in a region.",
